,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
13,4/21/2018,4/20/2018,{cak} A friend of mine was outside smoking a cigarette and they said hey come look at this and I went outside to look and it was something out in the sky with lights it was far up is a star maybe and it was moving,"Brooktrails/Willits, CA, US",,20180420215438.jpg
,,12:00AM,,,,
14,4/20/2018,4/19/2018,{cak} From area of Hollywood Hills saw 2 stationary lights that varied in brigjtness but did not move at all for about 10 min then faded out,"Los Angeles, CA, US",,
,,1:00AM,,,,
15,4/17/2018,4/2/2018,{cak} Caught triangle craft on camera above freeway while driving home,"Simi Valley , CA, US",,EAD115C8ADC1409B8F70F61162A7C72C.jpeg
,,9:59PM,,,,C5BEA429654040408DDD222BBB5D88C0.jpeg
,,,,,,1168CA017895423195EE883DE91A1FB1.jpeg
,,,,,,13F472A94D924B5283376CEA1FE34F12.jpeg
16,4/16/2018,4/16/2018,"{cak} 2 balls moving swiftly traveling north, one split accelerated and disappeared","corona del mar, CA, US",,
,,10:15AM,,,,
17,4/15/2018,4/14/2018,"{cak} About 22:00, 14APR18, Heading approx NE at a mild rate of speed over Hemet, CA approx Sanderson and menlo Black Triangle with 6 Dull Red under-Lights","Hemet, CA, US",,
,,10:30PM,,,,
18,4/15/2018,4/12/2018,{cak} sightings over fullerton california and costa mesa california and Irvine,"irvine, CA, US",,
,,8:00PM,,,,
19,4/15/2018,4/14/2018,"{cak} Object moving quickly across Anza Burrgo. Object had a random pulse of light, come to a complete stop and quick flash of light. One of the flashes looked like forked lighting going upward. Quickly moved north and shot south and disappeared.","Anza, CA, US",,
,,8:30PM,,,,
20,4/13/2018,4/11/2018,{td} Reptile flying in cloud,"Stockton, CA, US",,Whatisflyingintheclouds.jpg
,,8:03PM,,,,Whatisflyingintheclouds2.jpg
,,,,,,Whatisflyingintheclouds3.jpg
,,,,,,Reptileincloud.PNG
21,4/11/2018,4/10/2018,{td} Looked to be over ocean. 2 lights appear last for awhile disappear come back again. Smaller dim flashing lights flying around it,"San diego, CA, US",,VID20180410204113.mp4
,,9:09PM,,,,
22,4/8/2018,4/7/2018,{jpg} Observed something that I am not familiar with.,"Madera, CA, US",,
,,8:30PM,,,,
23,4/4/2018,4/3/2018,{jpg} Shinny silver disc shape moving NE over one mile up.,"Buena Park, CA, US",,
,,5:45PM,,,,
24,4/3/2018,4/3/2018,"{jpg} UFC not seen, only trail","Fresno, CA, US",,IMG3480.jpg
,,7:20AM,,,,
1,8/21/2018,5/26/2018,"{rjl} At 0:14 in video very fast moving white objects. Most prominent one goes straight up changes directions, goes through a cloud and reemerges","Irvine, CA, US",,VIDEO0588.mp4
,,1:53PM,,,,
2,8/19/2018,5/18/2018,{rjl} The ufo was noticed 3 months after the event on video taken with an Iphone.,"North Highland , CA, US",,trim.C6FF1210E8284127B2DD0C7C770BE8C1.MOV
,,1:09PM,,,,image.jpeg
3,8/17/2018,5/20/2018,"{cak} no idea what it was, after the video was taken, i saw it larger with a different position","Chula Vista, CA, US",,20180505082352.mp4
,,2:35PM,,,,
4,8/13/2018,5/14/2018,"{cak} Slow moving fireball, piece broke off and pulsated. Disintegrated in air.","San Luis Obispo, CA, US",,20180514007.mp3
,,1:20AM,,,,
5,8/3/2018,5/19/2018,Boomerang in Fresno,"fresno, CA, US",,CLOUDS20182.JPG
,,3:38PM,,,,
6,7/12/2018,5/11/2018,{jpg} NASA'S STEREO scope caught UFO.,"CA, US",,20180701220921s4h2A.jpg
,,4:59AM,,,,20180516020921s4h2A.jpg
7,6/18/2018,5/24/2018,{rjl} UFO captured close to weird formation cloud,"Victorville, CA, US",,20180524185144HDR.jpg
,,7:31PM,,,,20180524193118HDR.jpg
,,,,,,20180524193150.jpg
,,,,,,20180524201448HDR.jpg
,,,,,,20180524203745.jpg
8,5/31/2018,5/25/2018,{td} was black then as it went west towards the sun it was like a very bright star.,"Santa Monica, CA, US",,559.jpg
,,8:10PM,,,,556.jpg
,,,,,,557.jpg
9,5/30/2018,5/28/2018,"{td} heard military jets, went to look saw 2 f18s flying aggressively low alt, looked straight up saw v shaped black ufo","loomis, CA, US",,
,,12:00PM,,,,
10,5/30/2018,5/28/2018,{td} white spinning 1st looking like boomarang then a circle,"hesperia, CA, US",,
,,12:00AM,,,,
11,5/29/2018,5/23/2018,"{td} Three bright objects with varying degrees of altitude. Similar in size, shape, and colore","Lathrop, CA, US",,8EC0821B56A043109441C1CD2A0E9149.jpeg
,,9:09PM,,,,D57A10203998482B95FD26C713C1F5FC.jpeg
,,,,,,FB83AFB8EE64422DA80F62440240BC14.jpeg
,,,,,,93A2F9C44C0D42D3B818E43840D5BA52.jpeg
,,,,,,9C8777883117432FB2274B126F7BB77D.jpeg
12,5/28/2018,5/27/2018,"{td} UFO appeared about at a 75 deg angle from the horizon. It was much larger in size upon entering into the atmosphere and projected smoothly, but somewhat quickly at a 45 deg angle towards the ocean as it go smaller in size. Did not make a splash","CA, US",,20180527182359.mp4
,,6:00PM,,,,20180527182426.mp4
13,5/26/2018,5/26/2018,{rjl} Have no dreams of last night. Marks on my arm when I noticed this afternoon,"Santa Rosa, CA, US",,IMG20180526125435.jpg
,,3:30AM,,,,
14,5/25/2018,5/24/2018,"{rjl} Large, bright star-type object, steady in brightness, on a straight, rapid, LOW path across the sky suddenly turned off after a few seconds","El Dorado Hills, CA, US",,
,,9:17PM,,,,
15,5/22/2018,5/22/2018,{rjl} My report dissapeared,"CA, US",,
,,12:00PM,,,,
16,5/22/2018,5/20/2018,{rjl} White Owl & UFO,"Mendota, CA, US",,DB67A77C4F2A4155A9EE27842ACC3691.jpeg
,,10:15PM,,,,
17,5/21/2018,5/21/2018,"{rjl} Witnessed tetrahedron shaped craft approximately 15,000 feet move slowly West to East stop then go back West and disappear.","Redlands, CA, US",,IMG1710.MOV
,,5:57PM,,,,
18,5/21/2018,5/7/2018,{rjl} Riding my motorcycle taking pictures. This was shot was port side.,"Barstow, CA, US",,31964192102103332810824355604233542985842688n.jpg
,,12:00AM,,,,
19,5/21/2018,5/10/2018,{rjl} Riding my motorcyle taking pictures. This was shot facing backwards while moving at 35mph,"Mariposa, CA, US",,32294188102103500790223733930494885202755584n.jpg
,,12:00AM,,,,
20,5/20/2018,5/20/2018,"{rjl} Star-like, then briefly lit up in expanded orngish glow when accelerated.","Victorville, CA, US",,
,,3:30AM,,,,
21,5/19/2018,5/13/2018,{cak} Translucent spherical orb with three lights in it.,"San Jacinto , CA, US",,
,,6:10PM,,,,
22,5/16/2018,5/16/2018,{cak] Triangular shape with between 7 and 9 red lights over the edges,"Salinas, CA, US",,20180516003834.jpg
,,12:00AM,,,,
23,5/14/2018,5/14/2018,{cak} Noticed object up high hovering took 2 pictures with cell normal and max zoom.,"Redwood city, CA, US",,20180514082236.jpg
,,8:22AM,,,,20180514082135.jpg
24,5/14/2018,5/13/2018,{cak} 3 lights in a row and became 1 . Then seemed like it started to fly away at an arc.,"Oroville, CA, US",,Screenshot20180513212159.png
,,9:15PM,,,,Screenshot20180513212214.png
,,,,,,Screenshot20180513212231.png
,,,,,,20180513211825.jpg
,,,,,,20180513211820.jpg
25,5/12/2018,5/11/2018,{td} Hard to define shape but very easy to notice,"Pixley, CA, US",,34D1DEBA24584E4FB421168C61526498.MOV
,,5:07AM,,,,15A7B6D369D442B1AF7E09EA97C02E27.png
26,5/9/2018,5/8/2018,{td} We observed a triangular shape crafts going from west to east at approximately 9:15 p.m. May 8th 2018,"Ventura, CA, US",,
,,9:15PM,,,,
27,5/9/2018,5/8/2018,"{td} Saw orange light in sky for 30+ min then it moved got closer, decended and saw a triangle with lights","Santa Rosa, CA, US",,VID20180508234107.mp4
,,11:15PM,,,,15258514318421680433271.jpg
28,5/8/2018,5/7/2018,{td} I sit on my balcony at night and watch the Stars and I was laying there in my 0 gravity chair and there it was,"Palm Springs, CA, US",,
,,11:00PM,,,,
29,5/8/2018,5/5/2018,"(td} Got real bright then exploded and glowing debril showered under it.like it's iuter she'll blew off,like fireworks,eventually gained altitude after roaming around area","Romoland, CA, US",,
,,12:00AM,,,,
30,5/8/2018,5/7/2018,{td} I saw something white in the sky...,"Trabuco Canyon, CA, US",,
,,12:00AM,,,,
31,5/6/2018,5/6/2018,{td} FIRST NOTICED A LARGE ORANGE/RED LIGHT AROUND 1;45 A.M. RIGHT UNDER THE BIG DIPPER,"CORONA, CA, US",,IMG20180506014827608.jpg
,,1:45AM,,,,IMG201805060148537121.jpg
,,,,,,IMG20180506014853712.jpg
,,,,,,IMG201805060148276081.jpg
32,5/6/2018,5/5/2018,"{td} Mylar type object, 8 flat sides, metallic, moving at approximately 100 mph","Burbank, CA, US",,20180505193224.jpg
,,7:30PM,,,,20180505193223.jpg
33,5/5/2018,5/4/2018,{jpg} Hot tube looking at sky. Tube was not running. Second time in a year seeing this type of object.,"San diego, CA, US",,
,,11:40PM,,,,
34,5/4/2018,5/3/2018,{jpg} Three orbs flying fast over Costa Mesa CA,"Costa Mesa, CA, US",,
,,9:08PM,,,,
35,5/4/2018,5/3/2018,{jpg} Moonless night sky boomerang object,"LaMesa, CA, US",,
,,8:30PM,,,,
36,5/2/2018,5/2/2018,{jpg} the light that brought me a message,"santa rosa, CA, US",,
,,1:00AM,,,,
,,,,,,
1,12/27/2018,6/28/2018,{tjd} Took pictures at San Diego county fair and the pictures caught some interesting entities in the sky.,"Del Mar, CA, US",,61095190BE9A4A9BB75B9F0BF927F377.png
,,9:09PM,,,,AA4593620A4F4C6380F60C1530BCC155.jpeg
2,11/7/2018,6/3/2018,{jpg} they have been coming to this building and i can photograph them.,"CA, US",,3dpics33.jpg
,,10:10AM,,,,supergremlin44.jpg
,,,,,,IMG0505hdr1.jpg
,,,,,,IMG0025.JPG
,,,,,,evilskies77.jpg
3,10/2/2018,6/28/2018,"{jpg} Orb pulsating blue lite, moving erratically around sky. I have a 30 second video","Napa, CA, US",,CF791F2176A14FF6B03DC3BD328CAB64.MOV
,,1:01AM,,,,
4,8/15/2018,6/10/2018,"{cak} Let my dog out to pee, and as I stepped outside something caught my. I looked up, and the orb shot down at an angle! I lost sight of the orb behind a tree line. This is my third UFO sighting but the first I have reported.","Davis, CA, US",,
,,10:00PM,,,,
5,8/5/2018,6/28/2018,"{jpg} Four or Five white glowing objects, not moving, then dissappeared one by one","Palmdale, CA, US",,
,,8:15PM,,,,
6,7/14/2018,6/18/2018,"{jpg} I missed my turn and began heading up HWY 178 in the weong direction. After approx 4 miles, I turned and headed back towards the lake. I noted two stars, or what I thought were stars. One just beneath the other. The lwo","Lake Isabella, CA, US",,
,,8:45PM,,,,
7,7/13/2018,6/30/2018,"{jpg} Multiple orbs seen over Newbury Park, CA","Newbury Park, CA, US",,FirstorbseenoverNewburyParkCA06302018.mp4
,,10:05PM,,,,
8,7/10/2018,6/23/2018,"{jpg} I took a long exposure photo; over 30 seconds, it appeared, went in a line, then disappeared.","Redwood City, CA, US",,crystalplane.jpg
,,9:01PM,,,,
9,7/6/2018,6/23/2018,{dr}observed group of lights while traveling E on Hwy 50,"Rancho Cordova, CA, US",,UFOVideo.mov
,,10:15PM,,,,
10,7/4/2018,6/28/2018,"{dr}I was taking pictures of the full moon and in two pictures green & blue entities appear, i took more pictures to try and debunk it but the lights were gone in a split second","DelMar, CA, US",,5459577BE6A3404FBD1ADA876B65F27A.jpeg
,,9:09PM,,,,CB8B57E89A794054B68DFCDBB2C1C4F3.png
,,,,,,C387B935EFC34897BC1563771F5D7756.png
,,,,,,0F38342B04E840C9A2379BD8A7979A5B.png
,,,,,,CCD750BC438A44638A592BE21C9542AC.jpeg
11,7/1/2018,6/27/2018,{dr}Watch for about an hour changes colors flashed brite light in middle haging legs changed colors,"Citrus heights, CA, US",,98D3536E5DE34CA7A75BAAD2F3FD7F12.MOV
,,3:00AM,,,,53BEDA7D10914FB784E25742D8384B83.MOV
,,,,,,572ED048D26242919900755F29BFB94F.MOV
,,,,,,1C7D153B245E48B7AB5975ADC1EE760D.jpeg
,,,,,,0FF356A6EA4E45E092817406BE3EE060.jpeg
12,6/29/2018,6/20/2018,"{td} Very shiny cylinder/rectangle, 1/2 size of jet, clear cloudless sky, heading west. Lasted a couple of minutes then disappeared. A few more minutes, it reappeared, heading west for a few short seconds then disappeared with a burst of light in front.","Aptos, CA, US",,
,,2:30PM,,,,
13,6/27/2018,6/26/2018,{td} White stationary object with minor red and green lights viewed from building. Began making abrupt movements from spot to spot with extreme acceleration and deceleration. Continued observation until obscured by trees.,"Pleasanton, CA, US",,
,,9:50PM,,,,
14,6/27/2018,6/23/2018,{td} Large ball of flame first move at a high rate of speed then stopped and started hovering,"Oakdale, CA, US",,A31D88DA34E84DDDA8E9EAD73A8B1AA8.png
,,11:45PM,,,,13DCB9B00AB24A5A90C50CD982394B38.png
,,,,,,AC03249B86D64DF4B67F5F683E15D970.MOV
15,6/26/2018,6/24/2018,{td} Two different objects passed in front of the moon. Each going a different direction,"Los Angeles, CA, US",,5A1504C86C8C4CEB9657B15488C7D99E.MOV
,,9:30PM,,,,A0921000234246DFB9F8A1EE58406F66.MOV
16,6/26/2018,6/25/2018,"{td} Was a Brite light, in shape of circle looked like a portal opening and closed.with a loud 3 second delay of a boom","San jose, CA, US",,
,,11:00PM,,,,
17,6/25/2018,6/21/2018,"{td] The object moved very fast, it was very bright and many bright light arranged in square shape","Sunnyvale, CA, US",,3596345618230798010846861841369444639571968n.jpg
,,1:50AM,,,,
18,6/24/2018,6/22/2018,"{td} Stars that change direction, flash randomly and hover for long periods of time.","CA, US",,
,,10:00PM,,,,
19,6/24/2018,6/23/2018,{td} Looked like a twinkling metallic star. Would get bright then disappear. a BUNch of people saw it. i am including a,"Los Angeles, CA, US",,7F799C2A110F44B1AA2C78BBB7A98CBB.jpeg
,,4:24PM,,,,
20,6/23/2018,6/22/2018,{rjl} Light moving very fast. Too fast for a satellite or aircraft,"Bakersfield, CA, US",,
,,10:46PM,,,,
21,6/22/2018,6/22/2018,{rjl} bright flash in sky followed by air purifier motor going out for split 2nd Burst of bright light.,"CA, US",,
,,12:00AM,,,,
22,6/21/2018,6/21/2018,"{rjl} Observed lights in morning Sky, very High maybe 7 or 8 miles High, moving very Slow assumed lights belong to some type of object.","Moreno Valley, CA, US",,
,,9:00AM,,,,
23,6/19/2018,6/13/2018,"{rjl} Bright neon green circle with a tail, decended in an angle at jet like speed","Fairfield, CA, US",,
,,8:52PM,,,,
24,6/18/2018,6/17/2018,{rjl} Noticed 11pm moving sharply like dancing. Hit it with green lazer immediately shown green. On object there green lighf came on wow,"Stockton, CA, US",,20180617215151.jpg
,,12:00AM,,,,20180617215056.jpg
,,,,,,20180617215144.jpg
,,,,,,20180617215100.jpg
,,,,,,20180617215056.jpg
25,6/18/2018,6/12/2018,{rjl} got up to go to bathroom am glanced over at my camera monitor and there was a spinning circle hovering around my moms car and a strange flying insect that would enter the circle almost as if it was controlling the spinning sphere{ i recorded,"Palm Springs, CA, US",,M4H01984.MP4
,,3:30AM,,,,
26,6/16/2018,6/15/2018,{cak} Went outside to smoke about 959 and looked twordsSE saw light that looked out a place looked like flying jelly fish.,"Redlands, CA, US",,20180616015941.jpg
,,11:00PM,,,,20180616015205.jpg
,,,,,,20180616015200.jpg
,,,,,,20180616015139.jpg
,,,,,,20180616015207.mp4
27,6/16/2018,6/16/2018,{cak} It was a pulsating white. Light behind thick cloud i have three videos it moved fast in one direction and came back went dim and then again pulsated,"Westminster, CA, US",,
,,11:45AM,,,,
28,6/14/2018,6/11/2018,{cak} Made my summer playing baseball he said what’s that in the sky I turned around looked at it in amazement and took a picture of it,"Simi Valley , CA, US",,
,,3:30PM,,,,
29,6/13/2018,6/12/2018,"{cak} Bright, pulsatine, hovering starlike object during daylight in Culver City, CA seen by multiple poeple leaving work","Culver City, CA, US",,IMG5503.jpg
,,5:05PM,,,,IMG5504.jpg
,,,,,,IMG5506.jpg
,,,,,,IMG5507.jpg
,,,,,,IMG5508.jpg
,,,,,,IMG5509.jpg
,,,,,,IMG5510.mov
,,,,,,IMG5511.mov
30,6/12/2018,6/11/2018,"{cak} Was already watching lots of strange lights in sky when saw three large, dim circular lights first in a line then triangle shape then move together then apart. No sound. gliding movement.","Ukiah, CA, US",,
,,10:20PM,,,,
31,6/10/2018,6/9/2018,{cak} have no clue what these are,"Sacramento, CA, US",,shorty.mp4
,,8:45PM,,,,2018060920085711.mp4
32,6/8/2018,6/7/2018,"{jpg} 3 ufo sightings in 30 minutes, first two glowing orbs, third was following us","Mammoth Lakes, CA, US",,
,,9:28PM,,,,
33,6/7/2018,6/6/2018,"{jpg} Fiery light moves erratically, then turns into saucer and disappears","Colton or Loma Linda, CA, US",,Capture20180607134435.png
,,11:45PM,,,,Capture20180607134555.png
34,6/7/2018,6/6/2018,{jpg} V-shaped object wobbling as it flew over San Diego in NNE direction. Moderate/slow speed.,"CA, US",,blankGRAY.JPG
,,9:12PM,,,,
35,6/3/2018,6/3/2018,"{jpg} White spots in clear blue sky.. moving SE direction, ascending.","Burbank , CA, US",,IMG6044.JPG
,,6:40PM,,,,IMG6045.JPG
36,6/3/2018,6/3/2018,{jpg} there are always these orb like disco balls hovering out and around my house and nearby mountain range and on occasion have followed me around my property and even in my car.,"Flournoy, CA, US",,VID20180603022312.mp4
,,12:00AM,,,,VID20180603022504.mp4
,,,,,,VID20180603022927.mp4
,,,,,,VID20180603023057.mp4
,,,,,,VID20180603023252.mp4
,,,,,,VID20180603023339.mp4
,,,,,,VID20180603023432.mp4
,,,,,,VID20180603023626.mp4
37,6/3/2018,6/2/2018,"{jpg} Blue orb flew between the moon and saturn (from my earthly POV), growing smaller and dimmer as it moved east.","Chatworth, CA, US",,IMG9317.jpg
,,2:47AM,,,,IMG9318.jpg
38,6/3/2018,6/1/2018,"{jpg} A Star light moving west to south east, white light as high altitude as stars, Absolute Silent.","La Grange, CA, US",,
,,4:05AM,,,,
1,12/9/2018,7/26/2018,"{cak} 1-3 Objects. 4-5 nights a week. Easily observed. Every person I have pointed it out to Notice. Going on 2 years. Easy to see ALL of Long Beach Nightly 1-3 objects, does not fail to show.","Long Beach, CA, US",,
,,8:30PM,,,,
2,11/11/2018,7/6/2018,{cak} Hidden in the clouds just west of Disneyland,"Anaheim, CA, US",,201807091a.jpg
,,12:00AM,,,,201807061.jpg
,,,,,,201807062.jpg
,,,,,,201807063.jpg
3,10/13/2018,7/22/2018,{tjd} They were 9-10 feet tall,"Windsor, CA, US",,
,,12:00AM,,,,
4,9/26/2018,7/31/2018,{dr}I saw a cigar shaped silvery object it was very high up but I early saw it shift around for a minute then instantly disappear to the south,"Martinez/pacheco, CA, US",,
,,1:03PM,,,,
5,9/14/2018,7/21/2018,{cak} Video with iPhone 8+ an object moving quickly up and then west in the sky over Somis CA,"Camarillo, CA, US",,B78CB4099CD544B0A1CE241D74CE42CC.MOV
,,11:34PM,,,,
6,8/24/2018,7/23/2018,"{rjl} outside taking a break at 10 am, saw a light shining down on me I looked up in the sky and saw a UFO fly right over","big bear lake, CA, US",,
,,10:01AM,,,,
7,8/1/2018,7/23/2018,"{rjl} Object appeared, disappeared, reappeared, then I lost contact. I am former ADA, know how to track Aircraft","Campo, CA, US",,
,,12:00AM,,,,
8,7/30/2018,7/29/2018,{rjl} Large UFO over the Balboa Beach enabled Lightspeed,"Newport, Balboa Beach, CA, US",,
,,8:29PM,,,,
9,7/27/2018,7/22/2018,{cak} Saw 5 glowing triangles flying in formation going westbound.Lead triangle switched places with triangle behind right hand side & then they vanished.,"Anaheim , CA, US",,20180724125908.jpg
,,10:00PM,,,,
10,7/26/2018,7/23/2018,{cak} Saw ufo i think on our way home at sunset forming a triangle caught on video,"Sin city, CA, US",,
